objid,dered_r,u_g_color,g_r_color,r_i_color,i_z_color,diff_u,diff_g1,diff_i,diff_z
1237648702995431855,18.167820000000003,0.02933311,0.20792960000000002,0.01168633,-0.167181,0.03003693,0.006223679,-0.002281189,0.003063202
1237655558793331492,18.93871,0.30821609999999994,0.02073669,0.1506844,-0.05087471,0.0418396,-0.00818634,-0.008813858,-0.004137039
1237648703532433991,18.45107,0.11598210000000002,0.26353649999999995,0.05848122,-0.09148216,-0.009765625,-0.01654053,-0.007808685,-0.00668335
1237648702995300521,18.20016,0.2583542,-0.19394489999999998,0.1433277,-0.03852081,0.01180267,-0.005338669,-0.02188873,-0.01511383
1237648702994973907,18.48329,0.5854397,0.8952370000000001,0.3785591,0.34255599999999997,-0.4184875,-0.6197147,-0.640604,-0.5959358
1237648703531909463,17.94901,-0.016197200000000002,0.02397728,0.10288620000000001,0.15680120000000003,0.01984024,0.004476547,0.01352119,0.007963181
1237648673997390397,18.65461,0.3135662,0.1794739,0.26765059999999996,0.07416725,-0.00903511,-0.01558304,-0.01394463,0.01150703
1237648703531844458,18.63935,0.1600723,0.32779309999999995,0.01068687,-0.1388321,0.001321793,-0.002315521,-0.0006752014,-0.02064705
1237648704068715146,19.45609,0.42809300000000006,0.0002918243,0.01394844,0.09921837,-0.02360153,-0.006549835,-0.0027885440000000004,-0.01016617
1237655549133324866,18.69492,0.1262646,0.2784061,0.06638527,0.04245949,-0.01243973,-0.008773804,-0.007545471,-0.007516861
1237648703531582493,17.53838,1.162016,1.017002,0.4264832,0.2642651,-2.199104,-2.101589,-2.035894,-1.9614580000000001
1237655549670261238,18.12932,0.32828709999999994,0.1875076,0.23502729999999997,-0.01091766,0.01097679,0.0027618409999999997,0.0055198669999999995,0.00428772
1237655560403354055,16.04924,1.54215,0.7076969,0.39160059999999997,0.2031269,-1.4829729999999999,-1.629848,-1.667819,-1.697677
1237648704605127474,18.39534,0.1298199,0.18187899999999999,-0.002357483,0.3715382,-0.05644608,-0.1173248,-0.1382694,-0.14253429999999997
1237648705679065922,19.19434,-0.009407043,0.008293152,0.2536774,0.06801796,-0.01973534,-0.02801132,-0.03380013,-0.01248932
1237648705142063758,18.37376,0.3442917,0.42618370000000005,0.09569739999999999,0.4192791,-0.10070989999999999,-0.12294010000000001,-0.17517850000000001,-0.163063
1237648704605323967,18.77833,0.14878270000000002,0.1965256,0.2694397,0.2658672,0.0063934330000000004,0.0037078859999999996,4.386902e-05,0.02731705
1237655551280874230,18.78059,0.0180645,0.23620029999999997,0.01284218,-0.1296768,0.01154518,0.005630493,0.007839203000000001,0.01512909
1237648705142260063,18.69989,0.03528976,0.1706886,0.07928085,-0.06400108,0.0118351,0.0066585540000000006,0.009292603,-0.0010662080000000001
1237648705679393020,22.00914,-3.177893,0.13008119999999998,0.28577800000000003,1.6871759999999998,0.001754761,0.754034,0.629652,0.2455788
1237648675608003121,18.96903,0.1084213,-0.03237343,0.1213703,-0.07385445,-0.002792358,0.001384735,-0.009910583,0.006744385
1237648674534457402,17.6041,0.06019974,0.3146954,0.01561546,-0.1186161,-0.002557755,0.00252533,-0.014638900000000002,-0.008211135999999999
1237648704605979144,18.13433,0.338789,0.6233959,0.3975353,0.2287312,-0.5686951,-0.9355716999999999,-0.9635372,-1.0104389999999999
1237648705142850600,19.08301,0.1658878,0.1237087,0.3973503,0.06905365,-0.01309395,0.002597809,0.0009555817,0.01444626
1237655550744658945,18.46995,-0.02289963,0.02241516,0.178072,-0.1513386,0.01319122,0.01410866,0.006772995,0.005716324
1237648705679852464,18.89566,0.17663,0.2199631,-0.04950905,0.04706764,0.0039291379999999996,0.003124237,-0.0003643036,0.02036476
1237671766931472429,20.941879999999998,2.604885,0.22372820000000002,0.5708350999999999,0.03086662,0.15142629999999999,0.02510071,0.005020142,-0.0001487732
1237651212285444363,18.591720000000002,0.3069019,0.7193890000000001,0.40225029999999995,0.3852158,-0.4173794,-0.6091347,-0.6212996999999999,-0.6249752
1237671767468409118,17.91889,0.40427399999999997,0.45372390000000007,0.37410740000000003,0.1303997,-0.2745037,-0.389307,-0.4427147,-0.4396572
1237671766931145000,18.18246,0.9969691999999999,0.6511421,0.3931389,0.2982998,-0.5860748,-1.128157,-1.030676,-1.032667
1237651225170412424,17.73753,0.0005779266000000001,1.1665020000000001,-0.002866745,-0.09791565,-5.099836,-4.571569,-4.273619,-3.666147
1237671938729902180,18.767879999999998,0.43923,0.057413099999999995,0.2239265,-0.02241707,-0.0127449,-0.035532,-0.05302429,-0.03436852
1237671939267035225,17.65941,0.2015305,0.02597809,0.2376232,-0.11580660000000001,-0.03944588,-0.06602669,-0.02031326,-0.08125877
1237671939267100904,18.46265,0.238287,0.2416782,-0.1063156,0.07622147,-0.02426529,-0.03030205,-0.03260612,-0.05084229
1237671767467950406,18.091910000000002,0.1427898,0.32992550000000004,0.374712,0.08068848,-0.3363934,-0.5196896,-0.5457535,-0.5543041
1237671768004886784,17.40005,1.510656,0.9399796,0.4239902,0.2608433,-1.055202,-1.2474120000000002,-1.229673,-1.26716
1237651224633409886,19.14702,0.20240020000000003,0.08817863,0.2734184,0.03540611,-0.008230209,-0.007482529,-0.01870918,-0.02547836
1237671767467819244,17.35481,0.9161148000000001,0.6374207,0.41697690000000004,0.2278538,-0.8799877,-1.020584,-1.1038649999999999,-1.014467
1237671766930817252,19.202379999999998,0.1638851,-0.006401062,0.19381900000000002,-0.04091072,-0.02778244,-0.02113152,-0.01403236,-0.01116562
1237671939266511079,19.023239999999998,0.1642494,0.6536827,0.3722134,0.48713490000000004,-0.3264008,-0.46503640000000007,-0.5425129,-0.5035457999999999
1237671939803447363,18.31092,0.3261948,0.07221031,0.03122902,0.09959984,0.003429413,-0.01068306,-0.01814079,-0.02063751
1237671938729574572,17.89374,0.07750130000000001,0.0406456,-0.1176376,-0.08942223,-0.009063721,-0.01408958,-0.02442932,-0.01274109
1237671938729640175,19.32101,0.46289830000000004,0.3334351,0.20966149999999997,0.2403431,-0.01090622,-0.02877045,-0.03731537,-0.03022575
1237671940877123859,18.96001,2.0621490000000002,0.20610429999999996,-0.02250862,-0.06446648,0.06715775,0.008371353,0.004497528,0.02038002
1237671940876992771,19.1532,0.1507416,0.2816906,0.16853900000000002,0.07817268,0.008060455,0.003469467,-0.01416969,-0.001205444
1237671940877320454,18.7508,0.6503029,0.5228157,0.2774162,0.3288116,-0.1424351,-0.23525810000000003,-0.2610283,-0.2151127
1237671940877254880,18.02426,0.5322741999999999,0.6475334,0.4003067,0.1950436,-0.7582188,-1.013556,-1.022243,-0.9085120999999999
1237671940877254930,19.09544,0.3819008,0.026552199999999998,0.03494453,0.02144051,-0.026836400000000003,-0.04023552,-0.06346130000000001,-0.05494499
1237671940877320532,16.74149,1.459442,0.7483673000000001,0.41693500000000006,0.24444770000000005,-0.7413559000000001,-1.003803,-0.9371338,-0.9528293999999999
1237671940340318457,18.32876,0.5231857,0.05427551,0.02302551,0.1161346,-0.0034523009999999996,-0.01535797,-0.01195717,-0.03010559
1237671769078498161,22.33256,-0.5443802,1.9213770000000001,0.6270045999999999,0.7482243000000001,0.3130131,-0.01607513,-0.008649826,-0.0001621246
1237671769078693925,18.11515,0.18020060000000002,0.15173910000000002,-0.036569599999999994,0.11502269999999999,-0.02523994,-0.01156807,-0.002481461,-0.02151871
1237671939803643966,17.79198,0.1639862,0.1826191,-0.07071114,0.3528442,-0.01350403,-0.06970215,-0.08519363,-0.07488632
1237671940340580646,18.8476,0.1938896,0.28392790000000007,0.25802420000000004,0.21005820000000003,0.02582741,-0.01169395,-0.02284622,-0.009702681999999999
1237671939803906147,18.49898,0.2651958,0.24289320000000003,-0.04357338,0.526247,0.0050354,-0.03116798,-0.02975273,-0.03279686
1237671768541823146,18.73626,0.6518745,-0.04638863,0.004472733,0.24699970000000002,0.02740669,-0.011083599999999999,0.0019378660000000001,-0.02206993
1237671940340711614,18.69494,0.3014584,0.4941063,0.1996098,0.4078693,-0.2193089,-0.373558,-0.3937168,-0.4376526
1237671940877779226,18.924120000000002,-0.18667979999999998,0.2485542,0.02870369,-0.1155548,-0.002569199,-0.01765251,-0.01644707,-0.01399231
1237671940340908125,15.87105,0.6550732,0.08831692,0.08440971,0.05352116,0.01992035,0.0035552979999999997,0.0018100739999999998,-0.0006408691
1237671939804037250,18.12924,0.133213,0.006616591999999999,0.1950531,0.006305695,0.01178551,-0.0027160640000000002,-0.02342415,-0.02476692
1237671769079087828,21.331310000000002,2.019341,0.9243584,0.4789276,0.2209949,0.7972316999999999,-0.3510818,-0.4803715,-0.5544491
1237671768005279868,18.42318,0.2279377,0.31078340000000004,0.1556015,-0.03482628,0.0036468509999999996,0.009260178,-0.02870369,-0.004964828
1237671769079153091,19.62066,0.12379460000000002,0.148634,0.269455,0.006368637,-0.01456642,-0.0073013309999999994,-0.01400375,0.0009670258
1237671940341236088,18.656589999999998,0.2678127,0.7224616999999999,0.317234,0.41470340000000006,-0.5473938,-0.8047943000000001,-0.9089030999999999,-0.8556824000000001
1237671940878041153,18.010270000000002,0.4420414000000001,0.05949402,0.1844711,-0.1371975,-0.0017719270000000002,-0.01067734,-0.02932358,-0.01533127
1237671768005411282,17.33762,1.5989360000000001,1.033907,0.5622272,0.2322216,-1.6100139999999998,-1.7232490000000003,-1.8031560000000002,-1.865477
1237671939804758456,17.4684,0.8590774999999999,0.6617928000000001,0.4049969,0.1814728,-0.9070148000000001,-1.158287,-1.153572,-1.137142
1237671768006066299,17.48251,0.1276684,0.18524549999999998,-0.03500748,-0.06631851,-0.00995636,-0.0033836359999999998,-0.002536774,0.01501846
1237671768006132021,19.96891,0.9959946,0.6540564999999999,0.5494175,0.2709942,0.004798889000000001,-0.29214670000000004,-0.3196812,-0.40234570000000003
1237671939805151249,18.194570000000002,0.21696089999999998,0.2133007,0.2067547,-0.09579086,0.01008034,-0.003677368,-0.006065369,0.01584244
1237671940341956798,18.83928,0.3637657,0.04633904,-0.0341301,0.2568874,0.008708954,-0.004034042,-0.0007343292,-0.01349831
1237671769079939105,18.46804,-0.026136400000000004,0.03242874,0.4067039,-0.01439857,-0.0030975340000000003,-0.01505661,-0.0156498,-0.0070114140000000005
1237671940342088018,15.8452,1.734118,0.8954458000000001,0.4264174,0.3020658,-2.0297110000000003,-2.045575,-2.0247040000000003,-1.8661279999999998
